1	Shambler	35	6	3.2	1	1.8	1	1
2	Gasbomb	100	13	2.4	0.5	1.2	1	1
3	Security Guard	45	6	2.6	1.5	5.5	2	3
4	Pyro	320	8	2	2.5	4	7	12
5	Putridifier	450	15	2	2.5	6	7	12
6	Iron Dynamo	70	8	2.6	1.3	2.1	4	8
7	Hunter	150	8	2.4	1.8	6.2	5	8
8	Atomizer	600	20	1.5	4	7	12	18
9	Butcher	550	15	2.3	4	5.5	12	18
10	Dsetroyer	800	15	1.5	1.5	8	16	25
11	Annihilator	800	15	1.5	2	8	16	25
12	Infector	34000	0.15	0	1.2	99	400	999
13	Mutant Dog	50	10	4	1.5	1.8	4	8
14	Hunter II	800	17	2	3.5	1.8	16	25
15	Infector II	4000	0.15	0	1.2	99	64	100
16	SkillBoss	50000	40	3	1	9	0	0
