1	1	1	1-5;1-10	11;11	1-10,2-5,3-5;1-10	10;5
1	1	2	1-10;1-10	11;11	1-3,2-3,3-3;3-12,2-7;1-7,2-5,3-7	5;10;10
1	1	3	3-5;1-10,3-5	7;11	2-10,3-7;1-3,2-7,3-7;2-15	10;10;10
1	1	4	1-8,3-5;1-10,3-6	11;11	1-7;2-7,3-7,1-10;1-5,2-5,3-7;1-10	5;10;10;5
1	1	5	2-3;2-5,3-5;1-10,3-5,2-5	5;11;7	1-3,2-3,3-7;1-3,2-3,3-7;1-5,2-5,3-5	10;10;10
1	1	6	2-5,1-10;2-5,1-10	11;11	1-10,2-4,3-4,5-4;1-10,2-2,3-2,5-6;1-7,5-4,2-1	15;20;15
1	1	7	3-5,2-3;3-5,1-7;3-5,2-5	7;7;7	1-7,2-7,3-7,5-4;1-4,2-10,3-10,5-4;1-10,2-4,5-2;5-4	15;15;10;5
1	1	8	1-6,3-2,2-3;1-6,3-4,2-3;1-16,3-4,2-3	7;11;11	5-2,1-7,2-2;5-4,1-7,3-4;5-4,1-4,2-7,3-6;1-7,5-6	10;10;15;10
1	1	9	1-10,2-10;2-5,3-8;1-10	11;11;7	1-18,5-2,3-4;1-10,2-10,3-4,5-2;1-15,3-4,2-4,5-4	15;15;15
1	1	10	5-1,1-10;5-2,1-10	11;11	2-15,3-20,1-5;2-10,3-25,1-15;1-25,3-10,2-15,15-1	15;20;15
1	1	11	1-10,3-4,2-3;1-10,5-2,2-3;1-10,3-4,2-3	11;11;11	1-15,2-5,3-10,5-3;5-4,2-15,3-10,1-10;5-2,1-30,2-3,3-3	15;15;20
1	1	12	5-2,2-5,1-15;5-1,3-6;2-5,3-5,1-10	11;7;7	5-2,2-20,3-15;1-25,2-5,3-10;5-6;2-10,1-15,3-10	15;15;5;15
1	1	13	5-2,1-20;5-2,1-10;5-2,2-15	11;7;11	2-8,3-5,1-10;3-11,2-15,1-20,5-2;1-25,2-10,3-15,5-5	10;15;15
1	1	14	3-6,2-3;3-8,1-20;2-8,3-8,5-2	8;7;11	3-35,2-10,5-1;1-10,3-20,5-2;1-15,3-10,2-8,5-1;1-8,3-20,5-2	15;15;10;15
1	1	15	2-4,1-15,3-4;2-8,3-6	7;15	1-15,2-15,3-15,5-5;1-20,2-10,3-10,5-5;1-30,2-5,3-5,5-7	15;15;15
1	1	16	1-25,2-6,5-2;3-4,1-15,5-2	11;11	1-20,5-2,6-4;1-10,2-5,3-10,6-6;6-4,1-5,2-10,5-2,3-5;6-3,1-15,2-10,3-10;6-10	15;15;15;20;5
1	1	17	3-10,5-2;1-15,2-10;5-2,1-20	7;7;11	2-10,3-5,5-4,6-4;1-25,2-5,3-6,5-2;6-3,1-5,2-10,3-5;5-4,6-5	15;20;15;5
1	1	18	1-25,5-2,3-10,2-5;1-10,5-2;1-20,2-5,3-10	12;15;7	1-15,6-6,3-10;2-5,1-15,3-8,6-4;6-4,1-20,2-5,3-5;1-15,2-15,6-8	15;15;15;15
